position,tracklist,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveliness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48E-05,0.074,0.56,128.003,audio_features,2ISSQPb9LHHiV6ng2NXosL,spotify:track:2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/tracks/2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/audio-analysis/2ISSQPb9LHHiV6ng2NXosL,218293,4
2,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.553,0.872,6,-2.088,0,0.137,0.0857,4.32E-06,0.225,0.492,127.964,audio_features,4ZR9C21EoHsO1kNw1m3KZ4,spotify:track:4ZR9C21EoHsO1kNw1m3KZ4,https://api.spotify.com/v1/tracks/4ZR9C21EoHsO1kNw1m3KZ4,https://api.spotify.com/v1/audio-analysis/4ZR9C21EoHsO1kNw1m3KZ4,180907,4
3,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.825,0.655,6,-4.196,0,0.0968,0.00216,0.013,0.136,0.509,128,audio_features,1zHP24nRJRnVi38qGVqmjO,spotify:track:1zHP24nRJRnVi38qGVqmjO,https://api.spotify.com/v1/tracks/1zHP24nRJRnVi38qGVqmjO,https://api.spotify.com/v1/audio-analysis/1zHP24nRJRnVi38qGVqmjO,359867,4
6,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.688,0.887,7,-3.68,1,0.158,0.000816,0.778,0.276,0.0399,126.029,audio_features,3G94lNH9BlS5a2WpfwJ1E6,spotify:track:3G94lNH9BlS5a2WpfwJ1E6,https://api.spotify.com/v1/tracks/3G94lNH9BlS5a2WpfwJ1E6,https://api.spotify.com/v1/audio-analysis/3G94lNH9BlS5a2WpfwJ1E6,196295,4
7,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.579,0.759,2,-5.584,0,0.0386,0.06,0.000138,0.117,0.127,127.875,audio_features,0qlAureWHln3vDCsqnkyRE,spotify:track:0qlAureWHln3vDCsqnkyRE,https://api.spotify.com/v1/tracks/0qlAureWHln3vDCsqnkyRE,https://api.spotify.com/v1/audio-analysis/0qlAureWHln3vDCsqnkyRE,296280,4
8,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.757,0.668,2,-2.485,0,0.0479,0.0295,0.0987,0.123,0.332,126.019,audio_features,4wPf6SJCvVXPyiKS99tOWY,spotify:track:4wPf6SJCvVXPyiKS99tOWY,https://api.spotify.com/v1/tracks/4wPf6SJCvVXPyiKS99tOWY,https://api.spotify.com/v1/audio-analysis/4wPf6SJCvVXPyiKS99tOWY,200952,4
9,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.384,0.934,1,-2.75,1,0.227,0.0257,0.565,0.103,0.275,127.037,audio_features,0h4vLLhUFzNUanuPBqVIX7,spotify:track:0h4vLLhUFzNUanuPBqVIX7,https://api.spotify.com/v1/tracks/0h4vLLhUFzNUanuPBqVIX7,https://api.spotify.com/v1/audio-analysis/0h4vLLhUFzNUanuPBqVIX7,195399,4
12,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.664,0.974,1,-6.223,1,0.0525,0.000461,0.625,0.139,0.476,128.007,audio_features,4wbez1OerZfMcupJPZytYc,spotify:track:4wbez1OerZfMcupJPZytYc,https://api.spotify.com/v1/tracks/4wbez1OerZfMcupJPZytYc,https://api.spotify.com/v1/audio-analysis/4wbez1OerZfMcupJPZytYc,292707,4
13,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.863,0.945,7,-3.678,1,0.138,0.00403,0.838,0.0683,0.364,128.01,audio_features,4dxWm37HuwjUV25TUuLaJR,spotify:track:4dxWm37HuwjUV25TUuLaJR,https://api.spotify.com/v1/tracks/4dxWm37HuwjUV25TUuLaJR,https://api.spotify.com/v1/audio-analysis/4dxWm37HuwjUV25TUuLaJR,399493,4
14,https://www.1001tracklists.com/tracklist/10u49nq1/zedd-virtual-audio-ultra-music-festival-miami-united-states-2020-03-21.html,zedd,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
